Rank,Markets,Base price,24h trade volume,24h volume
1,BTC/USDT,$46891.61,$6.20 billion,$6.20 billion
2,ETH/USDT,$1750.66,$2.18 billion,$2.18 billion
3,BNB/USDT,$108.04,$1.17 billion,$1.17 billion
4,DOGE/USDT,$0.0728,$1.15 billion,$1.15 billion
5,ETH/BTC,$1745.94,$1.08 billion,$1.08 billion
6,BUSD/USDT,$1.00,$1.03 billion,$1.03 billion
7,BTT/USDT,$0.001201,$634.11 million,$634.11 million
8,XRP/USDT,$0.4727,$604.59 million,$604.59 million
9,ADA/USDT,$0.6992,$471.91 million,$471.91 million
10,DOT/USDT,$23.21,$425.41 million,$425.41 million
11,BNB/BTC,$107.71,$383.90 million,$383.90 million
12,TRX/USDT,$0.0478,$340.62 million,$340.62 million
13,LTC/USDT,$175.25,$334.70 million,$334.70 million
14,DOGE/BTC,$0.0730,$329.93 million,$329.93 million
15,EGLD/USDT,$198.90,$287.09 million,$287.09 million
16,FIL/USDT,$38.18,$277.55 million,$277.55 million
17,EOS/USDT,$4.11,$245.07 million,$245.07 million
18,ADA/BTC,$0.6978,$232.00 million,$232.00 million
19,LINK/USDT,$26.38,$216.41 million,$216.41 million
20,BTC/USDC,$46858.82,$209.80 million,$209.80 million
21,BCH/USDT,$503.64,$205.60 million,$205.60 million
22,USDC/USDT,$1.00,$180.54 million,$180.54 million
23,DOT/BTC,$23.17,$168.02 million,$168.02 million
24,VET/USDT,$0.03614,$155.16 million,$155.16 million
25,XLM/USDT,$0.3970,$147.57 million,$147.57 million
26,SXP/USDT,$2.46,$146.96 million,$146.96 million
27,EUR/USDT,$1.21,$138.93 million,$138.93 million
28,AAVE/USDT,$495.56,$137.05 million,$137.05 million
29,XRP/BTC,$0.4715,$135.92 million,$135.92 million
30,NEO/USDT,$31.32,$129.59 million,$129.59 million
31,LINK/BTC,$26.31,$124.39 million,$124.39 million
32,LIT/USDT,$6.96,$111.98 million,$111.98 million
33,ALPHA/USDT,$2.15,$109.75 million,$109.75 million
34,LTC/BTC,$174.79,$104.43 million,$104.43 million
35,ALGO/USDT,$1.06,$101.14 million,$101.14 million
36,TRX/BTC,$0.0472,$94.44 million,$94.44 million
37,SUSHI/USDT,$14.21,$92.24 million,$92.24 million
38,EGLD/BTC,$198.03,$91.84 million,$91.84 million
39,UNI/USDT,$19.48,$90.92 million,$90.92 million
40,AVAX/USDT,$31.56,$84.29 million,$84.29 million
41,NPXS/USDT,$0.000968,$83.69 million,$83.69 million
42,ATOM/USDT,$15.25,$76.06 million,$76.06 million
43,XTZ/USDT,$3.76,$73.30 million,$73.30 million
44,YFI/USDT,$34310.17,$72.82 million,$72.82 million
45,MATIC/USDT,$0.0999,$72.45 million,$72.45 million
46,MIOTA/USDT,$0.7188,$71.57 million,$71.57 million
47,ZIL/USDT,$0.0945,$69.93 million,$69.93 million
48,THETA/USDT,$2.91,$67.62 million,$67.62 million
49,EOS/BTC,$4.10,$67.61 million,$67.61 million
50,ONT/USDT,$0.8404,$66.18 million,$66.18 million
51,WAVES/USDT,$10.38,$65.68 million,$65.68 million
52,BCH/BTC,$504.30,$63.99 million,$63.99 million
53,GRT/USDT,$0.9804,$59.66 million,$59.66 million
54,OMG/USDT,$5.18,$58.18 million,$58.18 million
55,BNB/ETH,$104.74,$57.99 million,$57.99 million
56,HOT/USDT,$0.001211,$55.92 million,$55.92 million
57,CRV/USDT,$3.22,$55.26 million,$55.26 million
58,BAND/USDT,$13.65,$54.80 million,$54.80 million
59,FIL/BTC,$37.53,$53.76 million,$53.76 million
60,ZRX/USDT,$1.55,$50.58 million,$50.58 million
61,AAVE/BTC,$498.52,$50.34 million,$50.34 million
62,WIN/USDT,$0.000172,$50.24 million,$50.24 million
63,GBP/USDT,$1.38,$49.97 million,$49.97 million
64,ETC/USDT,$9.62,$49.79 million,$49.79 million
65,SNX/USDT,$23.88,$48.59 million,$48.59 million
66,ZEC/USDT,$108.12,$48.38 million,$48.38 million
67,ETH/USDC,$1752.94,$48.24 million,$48.24 million
68,ALGO/BTC,$1.03,$45.87 million,$45.87 million
69,XLM/BTC,$0.3979,$42.72 million,$42.72 million
70,SOL/USDT,$7.92,$42.61 million,$42.61 million
71,SXP/BTC,$2.42,$40.65 million,$40.65 million
72,UNI/BTC,$19.50,$40.60 million,$40.60 million
73,INJ/USDT,$15.24,$38.71 million,$38.71 million
74,OGN/USDT,$0.5026,$38.51 million,$38.51 million
75,COMP/USDT,$484.52,$38.32 million,$38.32 million
76,ATOM/BTC,$15.13,$37.90 million,$37.90 million
77,MATIC/BTC,$0.0992,$37.78 million,$37.78 million
78,BTC/PAX,$47205.07,$36.87 million,$36.87 million
79,VET/BTC,$0.03621,$36.19 million,$36.19 million
80,DASH/USDT,$131.41,$35.31 million,$35.31 million
81,QTUM/USDT,$5.00,$34.36 million,$34.36 million
82,STX/USDT,$0.5475,$33.93 million,$33.93 million
83,PNT/USDT,$1.10,$32.36 million,$32.36 million
84,RSR/USDT,$0.0469,$30.74 million,$30.74 million
85,SUSHI/BTC,$14.18,$30.65 million,$30.65 million
86,MIOTA/BTC,$0.7139,$30.27 million,$30.27 million
87,XMR/BTC,$168.23,$30.21 million,$30.21 million
88,IOST/USDT,$0.02090,$30.15 million,$30.15 million
89,FTM/USDT,$0.1507,$29.01 million,$29.01 million
90,SRM/USDT,$3.35,$28.68 million,$28.68 million
91,KAVA/USDT,$4.01,$28.45 million,$28.45 million
92,AVAX/BTC,$31.21,$28.20 million,$28.20 million
93,XMR/USDT,$168.94,$27.98 million,$27.98 million
94,XTZ/BTC,$3.82,$27.77 million,$27.77 million
95,ONE/USDT,$0.01906,$27.49 million,$27.49 million
96,YFII/USDT,$2338.90,$27.01 million,$27.01 million
97,YFI/BTC,$34233.22,$26.56 million,$26.56 million
98,NANO/USDT,$4.66,$26.04 million,$26.04 million
99,ICX/USDT,$0.9303,$25.98 million,$25.98 million
100,SNX/BTC,$23.80,$24.92 million,$24.92 million
101,HBAR/USDT,$0.1084,$24.58 million,$24.58 million
102,TROY/USDT,$0.00759,$24.42 million,$24.42 million
103,NEO/BTC,$31.18,$23.59 million,$23.59 million
104,ZEN/USDT,$42.99,$23.59 million,$23.59 million
105,WAVES/BTC,$10.33,$23.41 million,$23.41 million
106,BTT/BNB,$0.001240,$23.28 million,$23.28 million
107,TUSD/USDT,$1.00,$22.79 million,$22.79 million
108,TWT/USDT,$0.6541,$22.77 million,$22.77 million
109,REN/USDT,$0.8810,$22.54 million,$22.54 million
110,ENJ/USDT,$0.4261,$22.11 million,$22.11 million
111,XEM/USDT,$0.3369,$22.10 million,$22.10 million
112,FET/USDT,$0.2414,$21.90 million,$21.90 million
113,DENT/USDT,$0.000751,$21.54 million,$21.54 million
114,VTHO/USDT,$0.00285,$21.45 million,$21.45 million
115,THETA/BTC,$2.90,$21.20 million,$21.20 million
116,ALPHA/BTC,$2.10,$20.78 million,$20.78 million
117,AKRO/USDT,$0.0471,$20.33 million,$20.33 million
