CurrencyRank,Currency,Pair,Volume (24h),Price,Volume (%),Liquidity,Category,Fee Type,Updated
1,WETH,WETH/FOX,$5479006720,$47793.50,100.00%,-,Spot,Percentage,20 hours ago
2,USD Coin,USDC/WETH,$101301293,$1.00,2.70%,935,Spot,Percentage,Recently
3,WETH,WETH/USDT,$92021645,$1781.35,2.45%,919,Spot,Percentage,Recently
4,Wrapped Bitcoin,WBTC/WETH,$67736171,$45687.49,1.80%,940,Spot,Percentage,Recently
5,Umbrella Network,UMB/WETH,$45198435,$2.39,1.20%,-,Spot,Percentage,Recently
6,Dai,DAI/WETH,$43400175,$1.00,1.16%,895,Spot,Percentage,Recently
7,Tornado Cash,TORN/WETH,$41067357,$274.67,1.09%,-,Spot,Percentage,Recently
8,Tendies,TEND/WETH,$33913429,$0.1741,0.90%,-,Spot,Percentage,Recently
9,DAO Maker,DAO/WETH,$21561671,$2.37,0.57%,-,Spot,Percentage,Recently
10,Uniswap,UNI/WETH,$20130864,$20.37,0.54%,930,Spot,Percentage,Recently
11,Chainlink,LINK/WETH,$18316024,$27.16,0.49%,841,Spot,Percentage,Recently
12,Decentr,DEC/WETH,$15615005,$0.4820,0.42%,-,Spot,Percentage,Recently
13,PAID Network,PAID/WETH,$15151356,$3.02,0.40%,539,Spot,Percentage,Recently
14,Base Protocol,BASE/WETH,$13959856,$1.44,0.37%,464,Spot,Percentage,Recently
15,Wrapped Bitcoin,WBTC/BADGER,$13162579,$46063.13,0.35%,829,Spot,Percentage,Recently
16,Unistake,UNISTAKE/WETH,$12181348,$0.1882,0.32%,-,Spot,Percentage,Recently
17,Aave,AAVE/WETH,$12135935,$524.34,0.32%,-,Spot,Percentage,Recently
18,Interest Bearing ETH,ibETH/ALPHA,$11950532,$1788.15,0.32%,-,Spot,Percentage,Recently
19,WETH,WETH/BONDLY,$11945649,$1801.67,0.32%,469,Spot,Percentage,Recently
20,Finxflo,FXF/WETH,$11706537,$0.5679,0.31%,-,Spot,Percentage,Recently
21,Synthetix,SNX/WETH,$10169405,$25.18,0.27%,714,Spot,Percentage,Recently
22,WETH,WETH/ROOK,$9364285,$1801.79,0.25%,640,Spot,Percentage,Recently
23,WETH,WETH/RGT,$8574862,$1881.94,0.23%,-,Spot,Percentage,Recently
24,DeFi Pulse Index,DPI/WETH,$7747376,$443.89,0.21%,827,Spot,Percentage,Recently
25,OptionRoom,ROOM/WETH,$7312384,$2.14,0.19%,-,Spot,Percentage,Recently
26,yearn.finance,YFI/WETH,$7083438,$37485.10,0.19%,677,Spot,Percentage,Recently
27,Maker,MKR/WETH,$7081933,$2601.15,0.19%,762,Spot,Percentage,Recently
28,Rubic,RB/WET,$6777956,$0.4473,0.18%,537,Spot,Percentage,Recently
29,Matic Network,MATIC/WETH,$6380999,$0.1106,0.17%,-,Spot,Percentage,Recently
30,cVault.finance,CORE/WETH,$5503544,$6749.80,0.15%,838,Spot,Percentage,Recently
31,Reserve Rights,RSR/WETH,$5458099,$0.05108,0.15%,552,Spot,Percentage,Recently
32,Origin Protocol,OGN/WETH,$5426654,$0.4938,0.14%,-,Spot,Percentage,Recently
33,TerraUSD,UST/USDT,$5247144,$1.01,0.14%,-,Spot,Percentage,Recently
34,Bao Finance,BAO/WETH,$4956738,$0.001138,0.13%,579,Spot,Percentage,Recently
35,Celsius,CEL/WETH,$4802977,$6.00,0.13%,696,Spot,Percentage,Recently
36,Basis Cash,BAC/DAI,$4702576,$0.5128,0.13%,764,Spot,Percentage,Recently
37,Nord Finance,NORD/WETH,$4504245,$7.87,0.12%,-,Spot,Percentage,Recently
38,WETH,WETH/REEF,$4343413,$1741.67,0.12%,-,Spot,Percentage,Recently
39,Shopping,SPI/WETH,$4329103,$41.56,0.12%,-,Spot,Percentage,Recently
40,Frax,FRAX/USDC,$4313441,$0.9997,0.11%,-,Spot,Percentage,Recently
41,USD Coin,USDC/USDT,$4289461,$0.9986,0.11%,766,Spot,Percentage,Recently
42,Tokenlon Network Token,LON/WETH,$4274979,$6.97,0.11%,-,Spot,Percentage,Recently
43,Polkastarter,POLS/WETH,$4260289,$2.62,0.11%,672,Spot,Percentage,Recently
44,Bridge Mutual,BMI/WETH,$3691143,$3.54,0.10%,421,Spot,Percentage,Recently
45,WETH,WETH/ankrETH,$3581813,$1807.25,0.10%,-,Spot,Percentage,Recently
46,Stake DAO,SDT/WETH,$3477065,$14.59,0.09%,734,Spot,Percentage,Recently
47,1inch,1INCH/WETH,$3465864,$5.23,0.09%,-,Spot,Percentage,Recently
48,Frax Share,FXS/FRAX,$3424283,$7.73,0.09%,-,Spot,Percentage,Recently
49,KORE Vault,KORE/WETH,$3382941,$512.20,0.09%,-,Spot,Percentage,101 days ago
50,Frax Share,FXS/WETH,$3369216,$7.70,0.09%,-,Spot,Percentage,Recently
51,TrueFi,TRU/WETH,$3248016,$0.3925,0.09%,-,Spot,Percentage,Recently
52,Mirror Protocol,MIR/WETH,$3244781,$5.03,0.09%,-,Spot,Percentage,Recently
53,SushiSwap,SUSHI/WETH,$3157515,$14.49,0.08%,512,Spot,Percentage,Recently
54,API3,API3/WETH,$3140427,$5.42,0.08%,-,Spot,Percentage,Recently
55,yAxis,YAX/WETH,$3133634,$34.56,0.08%,464,Spot,Percentage,Recently
56,Loopring,LRC/WETH,$3133341,$0.7105,0.08%,696,Spot,Percentage,Recently
57,WETH,WETH/INJ,$3127795,$1777.30,0.08%,-,Spot,Percentage,Recently
58,WETH,WETH/GRT,$3123428,$1776.17,0.08%,-,Spot,Percentage,Recently
